0 1:6.57448        2:0.318172       3:1.29525        4:0.230729       5:0.0320249      6:0.227431       7:0.141128       8:1.02951        9:0.710263       10:0.144097       11:0.0913399      12:0.381944       13:0.131165       14:1.06597        15:0.861748       16:0.684028       17:0.48467        18:9              19:6.5            20:0.764737       21:0.0430885      22:0.210462       23:0.0465459      24:2.68435e+08    
0 1:22.25          2:5.39786        3:14.0873        4:0.158437       5:0.023319       6:0.266484       7:0.107284       8:1.49176        9:0.604327       10:0.260989       11:0.0886388      12:0.248626       13:0.12662        14:0.862637       15:0.453854       16:0.20467        17:0.179315       18:14             19:7.36538        20:0.854955       21:0.0680625      22:0.377477       23:0.0577613      24:3.30382e+08    
0 1:15.8431        2:1.52054        3:4.61053        4:0.157008       5:0.0243835      6:0.313726       7:0.0248022      8:1.3098         9:0.172905       10:0.266667       11:0.0384234      12:0.219608       13:0.0737839      14:0.541176       15:0.228866       16:0.172549       17:0.0758395      18:5              19:2.78431        20:0.83095        21:0.064761       22:0.354537       23:0.070661       24:5.36871e+08    
0 1:1.46421        2:0.340233       3:0.717246       4:0.280754       5:0.0106226      6:0.347826       7:0              8:2.14493        9:0.0409917      10:0.26087        11:0              12:0.57971        13:0.204958       14:1.4058         15:0.114116       16:0.449275       17:0.0204958      18:3              19:4.08696        20:0.847625       21:0.0490037      22:0.509882       23:0.014287       24:0.137004       
0 1:0.626188       2:0.503151       3:1.75754        4:0.209899       5:0.0548066      6:0.375          7:0.0416667      8:1.5            9:0.25           10:0.25           11:0              12:0.625          13:0.166667       14:1              15:0.166667       16:0.416667       17:0.0416667      18:2              19:2.25           20:0.744779       21:0.0218875      22:0.58516        23:0.113955       24:0.774486       
1 1:7.98494        2:1.01991        3:1.98161        4:0.36031        5:0.0433889      6:0.444444       7:0.134598       8:2.03419        9:0.51168        10:0.0512821      11:0.145048       12:1.03419        13:0.39409        14:0.965812       15:0.436818       16:0.017094       17:0.0483492      18:9              19:13.7692        20:0.881427       21:0.0663388      22:0.577511       23:0.0422473      24:0.372167       
1 1:9.65904        2:0.694666       3:1.62412        4:0.249682       5:0.0171092      6:0.527778       7:0.133218       8:1.43056        9:0.507467       10:0.277778       11:0.0555556      12:0.597222       13:0.274635       14:0.597222       15:0.375514       16:0.423611       17:0.200188       18:8              19:7.5            20:0.87611        21:0.069105       22:0.648777       23:0.0338808      24:0.281235       
1 1:9.44943        2:0.664512       3:1.61356        4:0.333085       5:0.0351272      6:0.634921       7:0.136545       8:1.63492        9:0.44727        10:0.15873        11:0.0809368      12:0.880952       13:0.27147        14:0.68254        15:0.370559       16:0.031746       17:0.0489239      18:9              19:11.9286        20:0.895594       21:0.0556914      22:0.574944       23:0.0637188      24:0.306357       
0 1:4.66304        2:0.502876       3:1.5871         4:0.622735       5:0.0396581      6:0.461538       7:0              8:1.23077        9:0              10:0.230769       11:0.0769231      12:0.846154       13:0.0769231      14:0.730769       15:0.0384615      16:0.269231       17:0.115385       18:2              19:4.30769        20:0.808997       21:0.0356634      22:0.372123       23:0.0191816      24:0.434646       
0 1:2.64835        2:0.205498       3:0.553299       4:0.554167       5:0.000595242    6:0.416667       7:0.0833333      8:1.08333        9:0.25           10:0.166667       11:0.166667       12:0.625          13:0.0416667      14:0.916667       15:0              16:0.291667       17:0.208333       18:2              19:4.66667        20:0.769525       21:0.0440345      22:0.43022        23:0.0159341      24:0.39771        
0 1:2.47059        2:4.6397         3:4.77941        4:0.285288       5:0.0130658      6:0.277778       7:0.166667       8:1.11111        9:0.222222       10:0.166667       11:0.0555556      12:0.222222       13:0              14:0.611111       15:0.611111       16:0.166667       17:0.0555556      18:2              19:1.44444        20:0.855122       21:0.0481041      22:0.522059       23:0.00735295     24:0.826494       
